Date,NYDATA.Death,NYDATA.DeathIncrease
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,3,3
2020-3-16,7,4
2020-3-17,7,0
2020-3-18,12,5
2020-3-19,12,0
2020-3-20,35,23
2020-3-21,44,9
2020-3-22,114,70
2020-3-23,114,0
2020-3-24,210,96
2020-3-25,285,75
2020-3-26,385,100
2020-3-27,519,134
2020-3-28,728,209
2020-3-29,965,237
2020-3-30,1218,253
2020-3-31,1550,332
2020-4-1,1941,391
2020-4-2,2373,432
2020-4-3,2935,562
2020-4-4,3565,630
2020-4-5,4159,594
2020-4-6,4758,599
2020-4-7,5489,731
2020-4-8,6268,779
2020-4-9,7067,799
2020-4-10,7844,777
2020-4-11,8627,783
2020-4-12,9385,758
2020-4-13,10056,671
2020-4-14,10834,778
2020-4-15,11586,752
2020-4-16,12192,606
2020-4-17,12822,630
2020-4-18,13362,540
2020-4-19,13869,507
2020-4-20,14347,478
2020-4-21,14828,481
2020-4-22,15302,474
2020-4-23,15740,438
2020-4-24,16162,422
2020-4-25,16599,437
2020-4-26,16966,367
2020-4-27,17303,337
2020-4-28,17638,335
2020-4-29,18015,377
2020-4-30,18321,306
2020-5-1,18610,289
2020-5-2,18909,299
2020-5-3,19189,280
2020-5-4,19415,226
2020-5-5,19645,230
2020-5-6,19877,232
2020-5-7,20828,951
2020-5-8,21045,217
2020-5-9,21271,226
2020-5-10,21478,207
2020-5-11,21640,162
2020-5-12,21845,205
2020-5-13,22013,168
2020-5-14,22170,157
2020-5-15,22304,134
2020-5-16,22478,174
2020-5-17,22619,141
2020-5-18,22729,110
2020-5-19,22843,114
2020-5-20,22976,133
2020-5-21,23083,107
2020-5-22,23195,112
2020-5-23,23282,87
2020-5-24,23391,109
2020-5-25,23488,97
2020-5-26,23564,76
2020-5-27,23643,79
2020-5-28,23722,79
2020-5-29,23780,58
2020-5-30,23848,68
2020-5-31,23905,57
2020-6-1,23959,54
2020-6-2,24023,64
2020-6-3,24079,56
2020-6-4,24133,54
2020-6-5,24175,42
2020-6-6,24212,37
2020-6-7,24259,47
2020-6-8,24299,40
2020-6-9,24348,49
2020-6-10,24404,56
2020-6-11,24442,38
2020-6-12,24495,53
2020-6-13,24527,32
2020-6-14,24551,24
2020-6-15,24579,28
2020-6-16,24608,29
2020-6-17,24629,21
2020-6-18,24661,32
2020-6-19,24686,25
2020-6-20,24710,24
2020-6-21,24725,15
2020-6-22,24739,14
2020-6-23,24766,27
2020-6-24,24782,16
2020-6-25,24800,18
2020-6-26,24814,14
2020-6-27,24830,16
2020-6-28,24835,5
2020-6-29,24842,7
2020-6-30,24855,13
2020-7-1,24866,11
2020-7-2,24877,11
2020-7-3,24885,8
2020-7-4,24896,11
2020-7-5,24904,8
2020-7-6,24913,9
2020-7-7,24924,11
2020-7-8,24944,20
2020-7-9,24959,15
2020-7-10,24968,9
2020-7-11,24974,6
2020-7-12,24979,5
2020-7-13,24989,10
2020-7-14,24994,5
2020-7-15,25003,9
2020-7-16,25014,11
2020-7-17,25024,10
2020-7-18,25035,11
2020-7-19,25048,13
2020-7-20,25056,8
2020-7-21,25058,2
2020-7-22,25068,10
2020-7-23,25081,13
2020-7-24,25090,9
2020-7-25,25103,13
2020-7-26,25106,3
2020-7-27,25117,11
2020-7-28,25126,9
2020-7-29,25132,6
2020-7-30,25145,13
2020-7-31,25150,5
2020-8-1,25164,14
2020-8-2,25170,6
2020-8-3,25172,2
2020-8-4,25175,3
2020-8-5,25179,4
2020-8-6,25185,6
2020-8-7,25190,5
2020-8-8,25195,5
2020-8-9,25202,7
2020-8-10,25204,2
2020-8-11,25211,7
2020-8-12,25218,7
2020-8-13,25228,10
2020-8-14,25232,4
2020-8-15,25244,12
2020-8-16,25250,6
2020-8-17,25256,6
2020-8-18,25264,8
2020-8-19,25270,6
2020-8-20,25275,5
2020-8-21,25278,3
2020-8-22,25282,4
2020-8-23,25288,6
2020-8-24,25295,7
2020-8-25,25297,2
2020-8-26,25305,8
2020-8-27,25309,4
2020-8-28,25312,3
2020-8-29,25319,7
2020-8-30,25327,8
2020-8-31,25328,1
2020-9-1,25331,3
2020-9-2,25336,5
2020-9-3,25343,7
2020-9-4,25348,5
2020-9-5,25350,2
2020-9-6,25359,9
2020-9-7,25361,2
2020-9-8,25367,6
2020-9-9,25370,3
2020-9-10,25377,7
2020-9-11,25382,5
2020-9-12,25384,2
2020-9-13,25390,6
2020-9-14,25394,4
2020-9-15,25405,11
2020-9-16,25410,5
2020-9-17,25413,3
2020-9-18,25423,10
2020-9-19,25425,2
2020-9-20,25427,2
2020-9-21,25428,1
2020-9-22,25432,4
2020-9-23,25437,5
2020-9-24,25439,2
2020-9-25,25446,7
2020-9-26,25450,4
2020-9-27,25456,6
2020-9-28,25468,12
2020-9-29,25470,2
2020-9-30,25479,9
2020-10-1,25490,11
2020-10-2,25497,7
2020-10-3,25505,8
2020-10-4,25519,14
2020-10-5,25527,8
2020-10-6,25536,9
2020-10-7,25545,9
2020-10-8,25555,10
2020-10-9,25561,6
2020-10-10,25569,8
2020-10-11,25574,5
2020-10-12,25587,13
2020-10-13,25598,11
2020-10-14,25605,7
2020-10-15,25618,13
2020-10-16,25628,10
2020-10-17,25637,9
2020-10-18,25644,7
2020-10-19,25659,15
2020-10-20,25672,13
2020-10-21,25679,7
2020-10-22,25694,15
2020-10-23,25705,11
2020-10-24,25718,13
2020-10-25,25730,12
2020-10-26,25742,12
2020-10-27,25758,16
2020-10-28,25773,15
2020-10-29,25792,19
2020-10-30,25804,12
2020-10-31,25807,3
2020-11-1,25824,17
2020-11-2,25838,14
2020-11-3,25853,15
2020-11-4,25868,15
2020-11-5,25892,24
2020-11-6,25910,18
2020-11-7,25928,18
2020-11-8,25947,19
2020-11-9,25973,26
2020-11-10,26005,32
2020-11-11,26026,21
2020-11-12,26055,29
2020-11-13,26079,24
2020-11-14,26103,24
2020-11-15,26133,30
2020-11-16,26159,26
2020-11-17,26189,30
2020-11-18,26225,36
2020-11-19,26257,32
2020-11-20,26292,35
2020-11-21,26326,34
2020-11-22,26357,31
2020-11-23,26390,33
2020-11-24,26441,51
2020-11-25,26482,41
2020-11-26,26549,67
2020-11-27,26588,39
2020-11-28,26632,44
2020-11-29,26690,58
2020-11-30,26747,57
2020-12-1,26816,69
2020-12-2,26889,73
2020-12-3,26955,66
2020-12-4,27017,62
2020-12-5,27089,72
2020-12-6,27149,60
2020-12-7,27232,83
2020-12-8,27307,75
2020-12-9,27404,97
2020-12-10,27498,94
2020-12-11,27587,89
2020-12-12,27675,88
2020-12-13,27785,110
2020-12-14,27870,85
2020-12-15,28002,132
2020-12-16,28100,98
2020-12-17,28222,122
2020-12-18,28344,122
2020-12-19,28474,130
2020-12-20,28598,124
2020-12-21,28709,111
2020-12-22,28850,141
2020-12-23,29016,166
2020-12-24,29149,133
2020-12-25,29270,121
2020-12-26,29396,126
2020-12-27,29511,115
2020-12-28,29629,118
2020-12-29,29756,127
2020-12-30,29905,149
2020-12-31,30040,135
2021-1-1,30208,168
2021-1-2,30337,129
2021-1-3,30476,139
2021-1-4,30648,172
2021-1-5,30802,154
2021-1-6,30965,163
2021-1-7,31164,199
2021-1-8,31329,165
2021-1-9,31519,190
2021-1-10,31672,153
2021-1-11,31841,169
2021-1-12,32007,166
2021-1-13,32175,168
2021-1-14,32379,204
2021-1-15,32566,187
2021-1-16,32725,159
2021-1-17,32897,172
2021-1-18,33052,155
2021-1-19,33224,172
2021-1-20,33415,191
2021-1-21,33594,179
2021-1-22,33763,169
2021-1-23,33907,144
2021-1-24,34069,162
2021-1-25,34242,173
2021-1-26,34407,165
2021-1-27,34579,172
2021-1-28,34742,163
2021-1-29,34893,151
2021-1-30,35036,143
2021-1-31,35178,142
2021-2-1,35319,141
2021-2-2,35466,147
2021-2-3,35631,165
2021-2-4,35767,136
2021-2-5,35920,153
2021-2-6,36079,159
2021-2-7,36224,145
2021-2-8,36339,115
2021-2-9,36481,142
2021-2-10,36619,138
2021-2-11,36743,124
2021-2-12,36882,139
2021-2-13,37009,127
2021-2-14,37118,109
2021-2-15,37221,103
2021-2-16,37328,107
2021-2-17,37440,112
2021-2-18,37556,116
2021-2-19,37675,119
2021-2-20,37776,101
2021-2-21,37851,75
2021-2-22,37941,90
2021-2-23,38031,90
2021-2-24,38135,104
2021-2-25,38227,92
2021-2-26,38321,94
2021-2-27,38407,86
2021-2-28,38497,90
2021-3-1,38577,80
2021-3-2,38660,83
2021-3-3,38735,75
2021-3-4,38796,61
2021-3-5,38891,95
2021-3-6,38970,79
2021-3-7,39029,59