Date,VADATA.Death,VADATA.DeathIncrease
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,1,1
2020-3-16,1,0
2020-3-17,1,0
2020-3-18,1,0
2020-3-19,2,1
2020-3-20,2,0
2020-3-21,2,0
2020-3-22,3,1
2020-3-23,6,3
2020-3-24,7,1
2020-3-25,9,2
2020-3-26,13,4
2020-3-27,14,1
2020-3-28,17,3
2020-3-29,22,5
2020-3-30,25,3
2020-3-31,27,2
2020-4-1,34,7
2020-4-2,41,7
2020-4-3,46,5
2020-4-4,52,6
2020-4-5,51,0
2020-4-6,54,3
2020-4-7,63,9
2020-4-8,75,12
2020-4-9,109,34
2020-4-10,121,12
2020-4-11,130,9
2020-4-12,141,11
2020-4-13,149,8
2020-4-14,154,5
2020-4-15,195,41
2020-4-16,208,13
2020-4-17,231,23
2020-4-18,258,27
2020-4-19,277,19
2020-4-20,300,23
2020-4-21,324,24
2020-4-22,349,25
2020-4-23,372,23
2020-4-24,410,38
2020-4-25,436,26
2020-4-26,448,12
2020-4-27,458,10
2020-4-28,492,34
2020-4-29,522,30
2020-4-30,552,30
2020-5-1,581,29
2020-5-2,616,35
2020-5-3,660,44
2020-5-4,684,24
2020-5-5,713,29
2020-5-6,713,0
2020-5-7,769,56
2020-5-8,812,43
2020-5-9,827,15
2020-5-10,839,12
2020-5-11,850,11
2020-5-12,891,41
2020-5-13,927,36
2020-5-14,955,28
2020-5-15,977,22
2020-5-16,1002,25
2020-5-17,1009,7
2020-5-18,1014,5
2020-5-19,1041,27
2020-5-20,1074,33
2020-5-21,1099,25
2020-5-22,1136,37
2020-5-23,1159,23
2020-5-24,1171,12
2020-5-25,1208,37
2020-5-26,1236,28
2020-5-27,1281,45
2020-5-28,1338,57
2020-5-29,1358,20
2020-5-30,1370,12
2020-5-31,1375,5
2020-6-1,1392,17
2020-6-2,1407,15
2020-6-3,1428,21
2020-6-4,1445,17
2020-6-5,1453,8
2020-6-6,1460,7
2020-6-7,1472,12
2020-6-8,1477,5
2020-6-9,1496,19
2020-6-10,1514,18
2020-6-11,1520,6
2020-6-12,1534,14
2020-6-13,1541,7
2020-6-14,1546,5
2020-6-15,1552,6
2020-6-16,1570,18
2020-6-17,1583,13
2020-6-18,1586,3
2020-6-19,1602,16
2020-6-20,1607,5
2020-6-21,1611,4
2020-6-22,1620,9
2020-6-23,1645,25
2020-6-24,1661,16
2020-6-25,1675,14
2020-6-26,1700,25
2020-6-27,1724,24
2020-6-28,1732,8
2020-6-29,1740,8
2020-6-30,1763,23
2020-7-1,1786,23
2020-7-2,1816,30
2020-7-3,1845,29
2020-7-4,1849,4
2020-7-5,1853,4
2020-7-6,1853,0
2020-7-7,1881,28
2020-7-8,1905,24
2020-7-9,1937,32
2020-7-10,1958,21
2020-7-11,1962,4
2020-7-12,1966,4
2020-7-13,1968,2
2020-7-14,1977,9
2020-7-15,1992,15
2020-7-16,2007,15
2020-7-17,2013,6
2020-7-18,2025,12
2020-7-19,2027,2
2020-7-20,2031,4
2020-7-21,2048,17
2020-7-22,2051,3
2020-7-23,2054,3
2020-7-24,2067,13
2020-7-25,2075,8
2020-7-26,2078,3
2020-7-27,2082,4
2020-7-28,2095,13
2020-7-29,2125,30
2020-7-30,2141,16
2020-7-31,2174,33
2020-8-1,2215,41
2020-8-2,2218,3
2020-8-3,2218,0
2020-8-4,2244,26
2020-8-5,2274,30
2020-8-6,2299,25
2020-8-7,2317,18
2020-8-8,2322,5
2020-8-9,2326,4
2020-8-10,2327,1
2020-8-11,2344,17
2020-8-12,2352,8
2020-8-13,2363,11
2020-8-14,2370,7
2020-8-15,2381,11
2020-8-16,2381,0
2020-8-17,2385,4
2020-8-18,2396,11
2020-8-19,2410,14
2020-8-20,2427,17
2020-8-21,2436,9
2020-8-22,2443,7
2020-8-23,2467,24
2020-8-24,2471,4
2020-8-25,2494,23
2020-8-26,2515,21
2020-8-27,2515,0
2020-8-28,2550,35
2020-8-29,2568,18
2020-8-30,2569,1
2020-8-31,2580,11
2020-9-1,2612,32
2020-9-2,2641,29
2020-9-3,2652,11
2020-9-4,2662,10
2020-9-5,2677,15
2020-9-6,2678,1
2020-9-7,2684,6
2020-9-8,2686,2
2020-9-9,2697,11
2020-9-10,2708,11
2020-9-11,2711,3
2020-9-12,2722,11
2020-9-13,2724,2
2020-9-14,2743,19
2020-9-15,2839,96
2020-9-16,2884,45
2020-9-17,2920,36
2020-9-18,2949,29
2020-9-19,2990,41
2020-9-20,3015,25
2020-9-21,3021,6
2020-9-22,3060,39
2020-9-23,3089,29
2020-9-24,3113,24
2020-9-25,3136,23
2020-9-26,3144,8
2020-9-27,3159,15
2020-9-28,3172,13
2020-9-29,3187,15
2020-9-30,3208,21
2020-10-1,3228,20
2020-10-2,3250,22
2020-10-3,3270,20
2020-10-4,3273,3
2020-10-5,3276,3
2020-10-6,3291,15
2020-10-7,3303,12
2020-10-8,3328,25
2020-10-9,3344,16
2020-10-10,3354,10
2020-10-11,3358,4
2020-10-12,3361,3
2020-10-13,3372,11
2020-10-14,3381,9
2020-10-15,3388,7
2020-10-16,3408,20
2020-10-17,3422,14
2020-10-18,3433,11
2020-10-19,3457,24
2020-10-20,3485,28
2020-10-21,3515,30
2020-10-22,3524,9
2020-10-23,3539,15
2020-10-24,3578,39
2020-10-25,3579,1
2020-10-26,3581,2
2020-10-27,3600,19
2020-10-28,3616,16
2020-10-29,3636,20
2020-10-30,3643,7
2020-10-31,3654,11
2020-11-1,3655,1
2020-11-2,3658,3
2020-11-3,3666,8
2020-11-4,3677,11
2020-11-5,3688,11
2020-11-6,3682,0
2020-11-7,3704,22
2020-11-8,3707,3
2020-11-9,3713,6
2020-11-10,3726,13
2020-11-11,3741,15
2020-11-12,3758,17
2020-11-13,3785,27
2020-11-14,3799,14
2020-11-15,3800,1
2020-11-16,3806,6
2020-11-17,3835,29
2020-11-18,3860,25
2020-11-19,3896,36
2020-11-20,3912,16
2020-11-21,3938,26
2020-11-22,3938,0
2020-11-23,3942,4
2020-11-24,3979,37
2020-11-25,4008,29
2020-11-26,4029,21
2020-11-27,4044,15
2020-11-28,4054,10
2020-11-29,4058,4
2020-11-30,4062,4
2020-12-1,4093,31
2020-12-2,4113,20
2020-12-3,4147,34
2020-12-4,4160,13
2020-12-5,4197,37
2020-12-6,4200,3
2020-12-7,4208,8
2020-12-8,4260,52
2020-12-9,4281,21
2020-12-10,4335,54
2020-12-11,4370,35
2020-12-12,4409,39
2020-12-13,4411,2
2020-12-14,4414,3
2020-12-15,4470,56
2020-12-16,4508,38
2020-12-17,4553,45
2020-12-18,4598,45
2020-12-19,4643,45
2020-12-20,4650,7
2020-12-21,4654,4
2020-12-22,4705,51
2020-12-23,4760,55
2020-12-24,4791,31
2020-12-25,4820,29
2020-12-26,4840,20
2020-12-27,4854,14
2020-12-28,4861,7
2020-12-29,4920,59
2020-12-30,4984,64
2020-12-31,5032,48
2021-1-1,5081,49
2021-1-2,5117,36
2021-1-3,5124,7
2021-1-4,5132,8
2021-1-5,5191,59
2021-1-6,5226,35
2021-1-7,5275,49
2021-1-8,5312,37
2021-1-9,5381,69
2021-1-10,5383,2
2021-1-11,5393,10
2021-1-12,5477,84
2021-1-13,5552,75
2021-1-14,5626,74
2021-1-15,5656,30
2021-1-16,5706,50
2021-1-17,5729,23
2021-1-18,5739,10
2021-1-19,5798,59
2021-1-20,5861,63
2021-1-21,5940,79
2021-1-22,6002,62
2021-1-23,6079,77
2021-1-24,6078,0
2021-1-25,6081,3
2021-1-26,6174,93
2021-1-27,6228,54
2021-1-28,6308,80
2021-1-29,6379,71
2021-1-30,6449,70
2021-1-31,6464,15
2021-2-1,6474,10
2021-2-2,6517,43
2021-2-3,6575,58
2021-2-4,6650,75
2021-2-5,6732,82
2021-2-6,6773,41
2021-2-7,6778,5
2021-2-8,6820,42
2021-2-9,6898,78
2021-2-10,6932,34
2021-2-11,6958,26
2021-2-12,6966,8
2021-2-13,6996,30
2021-2-14,7012,16
2021-2-15,7016,4
2021-2-16,7037,21
2021-2-17,7075,38
2021-2-18,7090,15
2021-2-19,7098,8
2021-2-20,7197,99
2021-2-21,7331,134
2021-2-22,7486,155
2021-2-23,7658,172
2021-2-24,7807,149
2021-2-25,7963,156
2021-2-26,8197,234
2021-2-27,8382,185
2021-2-28,8552,170
2021-3-1,8783,231
2021-3-2,8943,160
2021-3-3,9326,383
2021-3-4,9357,31
2021-3-5,9428,71
2021-3-6,9519,91
2021-3-7,9596,77